 ITER          Simple-error          Ya-error
   372      0.76352426E-05      0.35384807E+00
   373      0.76355464E-05      0.35373220E+00
   374      0.76359356E-05      0.35361817E+00
   375      0.76364468E-05      0.35350448E+00
   376      0.76369606E-05      0.35339123E+00
   377      0.76374299E-05      0.35327834E+00
   378      0.76377937E-05      0.35316622E+00
   379      0.76380811E-05      0.35305539E+00
   380      0.76383167E-05      0.35294577E+00
   381      0.76385095E-05      0.35283563E+00
   382      0.76386805E-05      0.35272783E+00
   383      0.76388687E-05      0.35261932E+00
   384      0.76391352E-05      0.35251221E+00
   385      0.76397846E-05      0.35240367E+00
   386      0.76404594E-05      0.35229626E+00
   387      0.76411206E-05      0.35219255E+00
   388      0.76417491E-05      0.35208851E+00
   389      0.76422530E-05      0.35198286E+00
   390      0.76426722E-05      0.35187924E+00
   391      0.76429760E-05      0.35177585E+00
   392      0.76432416E-05      0.35167456E+00
   393      0.76435590E-05      0.35157320E+00
   394      0.76439956E-05      0.35147122E+00
   395      0.76443739E-05      0.35137093E+00
   396      0.76447450E-05      0.35127094E+00
   397      0.76451206E-05      0.35117239E+00
   398      0.76453862E-05      0.35107559E+00
   399      0.76456308E-05      0.35097566E+00
   400      0.76457272E-05      0.35088009E+00
   401      0.76457882E-05      0.35078338E+00
   402      0.76458800E-05      0.35068914E+00
   403      0.76460146E-05      0.35059449E+00
   404      0.76461201E-05      0.35049960E+00
   405      0.76464257E-05      0.35040578E+00
   406      0.76468004E-05      0.35031277E+00
   407      0.76470951E-05      0.35022113E+00
   408      0.76474416E-05      0.35012901E+00
   409      0.76476881E-05      0.35003912E+00
   410      0.76478127E-05      0.34994811E+00
   411      0.76479719E-05      0.34985870E+00
   412      0.76482011E-05      0.34977096E+00
   413      0.76484839E-05      0.34968135E+00
   414      0.76487877E-05      0.34959340E+00
   415      0.76489941E-05      0.34950677E+00
   416      0.76491888E-05      0.34942058E+00
   417      0.76493434E-05      0.34933573E+00
   418      0.76493925E-05      0.34925172E+00
   419      0.76494425E-05      0.34916645E+00
   420      0.76494543E-05      0.34908250E+00
   421      0.76495189E-05      0.34899899E+00
   422      0.76495735E-05      0.34891650E+00
   423      0.76495880E-05      0.34883678E+00
   424      0.76495444E-05      0.34875405E+00
